1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.987908101571947306e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.994450610432852322e-01,9.994964753272910229e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.597672485453034197e-01,7.721724979658258770e-01,7.780772686433063967e-01,7.323943661971831220e-01,7.424749163879598157e-01,7.792754844144903492e-01,7.814685314685314577e-01,7.871972318339099939e-01,7.851342910680824128e-01,7.940140845070422504e-01
7.119402985074626544e-01,7.165697674418605168e-01,7.021439509954058300e-01,7.020802377414561146e-01,7.362885048835462465e-01,7.498057498057497661e-01,7.412040656763095869e-01,7.417116422513492235e-01,7.321063394683026138e-01,7.549668874172185129e-01
6.691236691236691625e-01,6.585563665855637128e-01,6.757843925985519418e-01,6.399676375404530493e-01,6.606441476826394599e-01,6.989795918367347483e-01,7.045088566827697463e-01,6.728744939271255054e-01,7.019962955340605104e-01,7.204968944099379158e-01
6.251053074978938362e-01,6.178678678678678482e-01,6.136183689627869864e-01,6.179952644041041276e-01,5.911840968020742881e-01,6.837398373983739619e-01,6.430921052631578538e-01,6.666666666666666297e-01,6.711778388665680106e-01,6.803069053708440395e-01
6.028119507908611396e-01,5.582010582010582533e-01,5.846394984326018784e-01,5.716814159292035180e-01,5.830536912751678180e-01,6.347607052896725444e-01,6.289752650176678728e-01,6.189640035118525452e-01,6.393298059964727109e-01,6.525573192239858544e-01
5.573913043478261331e-01,5.373493975903614883e-01,5.438311688311687764e-01,5.240423797881010870e-01,5.213193885760257773e-01,5.986452159187130029e-01,5.773101555352241343e-01,6.048387096774193727e-01,5.988581095368999963e-01,6.137750653879686658e-01
4.498069498069497962e-01,4.648401826484018229e-01,4.356261022927689353e-01,4.438149197355996112e-01,4.500475737392959363e-01,4.170040485829959453e-01,5.276381909547738225e-01,5.565142364106988593e-01,5.400807994896874575e-01,5.640373197625105917e-01
3.534482758620689502e-01,3.761726078799249584e-01,3.660869565217391153e-01,3.783549783549783330e-01,3.421284080914687720e-01,2.479489516864175069e-01,2.969472710453284203e-01,4.583698510078877963e-01,4.687708379639919931e-01,4.650943396226415172e-01
2.859789993823347864e-01,2.897727272727272929e-01,2.712802768166089895e-01,2.819293478260869734e-01,2.559153175591531992e-01,2.206896551724137900e-01,1.949860724233983267e-01,2.258953168044077198e-01,3.967571144937127592e-01,4.019354838709677247e-01
3.886414253897549909e-01,3.934599156118143704e-01,3.625140291806958626e-01,4.045643153526971014e-01,3.858632676709153886e-01,3.559322033898305038e-01,3.205445544554455517e-01,3.300124533001245197e-01,3.044596912521440601e-01,4.124726477024069915e-01
